original name,title,primary_name,rest_of_name,suffix,fuller_form,numbers,dates,birth date,death date,auth link,source
"Tomlinson, Mathew.",,Tomlinson,Mathew,,,,,,,,lcnaf
"Kerry, John.",,Kerry,John,,,,,,,,lcnaf
"Musselman, Amos S., b. 1851.",,Musselman,Amos S.,,,,b. 1851,1851,,,lcnaf
"Ball, George W., 1909-",,Ball,George W.,,,,b. 1909,1909,,,lcnaf
"McGill, Charles William, 1865-",,McGill,Charles William,,,,b. 1865,1865,,,lcnaf
"Goldberg, Stanley B.",,Goldberg,Stanley B,,,,,,,,lcnaf
"Hays-Hamilton, Barbara.",,Hays-Hamilton,Barbara,,,,,,,,lcnaf
"Sears, John.",,Sears,John,,,,,,,,lcnaf
"Greene, Charles Wilson, 1866-1947.",,Greene,Charles Wilson,,,,1866-1947,1866,1947,http://id.loc.gov/authorities/names/n88622524,lcnaf
"Gordy, Berry, 1888-1978.",,Gordy,Berry,,,,1888-1978,1888,1978,http://id.loc.gov/authorities/names/n79096649,lcnaf
"Merrill, Howard E.",,Merrill,Howard E,,,,,,,,lcnaf
"Newburgh, Louis Harry, 1883-1956.",,Newburgh,Louis Harry,,,,1883-1956,1883,1956,http://id.loc.gov/authorities/names/no97056817,lcnaf
"Adams, Thomas Hammond, 1901-",,Adams,Thomas Hammond,,,,b. 1901,1901,,,lcnaf
"Steele, Thomas Clement, 1847-1926.",,Steele,Thomas Clement,,,,1847-1926,1847,1926,,lcnaf
"Green, Fred Harrison, 1890-1961.",,Green,Fred Harrison,,,,1890-1961,1890,1961,,lcnaf
"Fayz, Allie.",,Fayz,Allie,,,,,,,,lcnaf
"Albert, Carl Bert, 1908-2000",,Albert,Carl Bert,,,,1908-2000,1908,2000,http://id.loc.gov/authorities/names/n50035395,lcnaf
"McGrath, Tom J.",,McGrath,Tom J,,,,,,,,lcnaf
"Mohler, Orren, 1908-",,Mohler,Orren,,,,b. 1908,1908,,,lcnaf
"Reed, John Oren, 1856-1916.",,Reed,John Oren,,,,1856-1916,1856,1916,http://id.loc.gov/authorities/names/n87100421,lcnaf
"Amos, Earl V.",,Amos,Earl V,,,,,,,,lcnaf
"Lederle, Arthur F., 1887-",,Lederle,Arthur F.,,,,b. 1887,1887,,,lcnaf
"Carroll, Eber Malcolm, 1893-1959.",,Carroll,Eber Malcolm,,,,1893-1959,1893,1959,http://id.loc.gov/authorities/names/n50058767,lcnaf
"Lansing, Marjorie",,Lansing,Marjorie,,,,,,,,lcnaf
"Prussion, Karl.",,Prussion,Karl,,,,,,,http://id.loc.gov/authorities/names/no2006011511,lcnaf
"Roijen, J. H. van (Jan Herman)",,Roijen,J. H. van,,Jan Herman,,,,,,lcnaf
"Nehru, Jawaharlal, 1889-1964.",,Nehru,Jawaharlal,,,,1889-1964,1889,1964,http://id.loc.gov/authorities/names/n79109335,lcnaf
"Vakalo, Kathleen L.",,Vakalo,Kathleen L,,,,,,,http://id.loc.gov/authorities/names/n90646194,lcnaf
"Walker, Charles I. (Charles Irish), 1814-1895.",,Walker,Charles I.,,Charles Irish,,1814-1895,1814,1895,http://id.loc.gov/authorities/names/n85363414,lcnaf
"Owens, Clara.",,Owens,Clara,,,,,,,,lcnaf
"Kellogg, Remington, 1893-",,Kellogg,Remington,,,,b. 1893,1893,,,lcnaf
"Lang, Samuel.",,Lang,Samuel,,,,,,,,lcnaf
"Adams, Charles Francis, 1866-1954.",,Adams,Charles Francis,,,,1866-1954,1866,1954,http://id.loc.gov/authorities/names/n94101860,lcnaf
"Barbeau, Peter.",,Barbeau,Peter,,,,,,,,lcnaf
"Gosling, William A.",,Gosling,William A,,,,,,,http://id.loc.gov/authorities/names/n95039962,lcnaf
"Dickinson, Z. Clark (Zenas Clark), 1889-",,Dickinson,Z. Clark,,Zenas Clark,,b. 1889,1889,,,lcnaf
"Edmondson, Frank K. (Frank Kelly), 1912-",,Edmondson,Frank K.,,Frank Kelly,,b. 1912,1912,,http://id.loc.gov/authorities/names/n96089993,lcnaf
"Rossini, Frederick D. (Frederick Dominic), 1899-",,Rossini,Frederick D.,,Frederick Dominic,,b. 1899,1899,,http://id.loc.gov/authorities/names/n83825961,lcnaf
"Christensen, Ethlyn.",,Christensen,Ethlyn,,,,,,,http://id.loc.gov/authorities/names/n90714360,lcnaf
"Gitlin, Todd.",,Gitlin,Todd,,,,,,,http://id.loc.gov/authorities/names/n80009853,lcnaf
"Zeeb, Louise.",,Zeeb,Louise,,,,,,,,lcnaf
"Ripley, William Zebina, 1867-1941.",,Ripley,William Zebina,,,,1867-1941,1867,1941,http://id.loc.gov/authorities/names/n50054856,lcnaf
"Neel, James V. (James Van Gundia), 1915-2000",,Neel,James V.,,James Van Gundia,,1915-2000,1915,2000,http://id.loc.gov/authorities/names/n85279417,lcnaf
"Dunham, Fred Sylvester.",,Dunham,Fred Sylvester,,,,,,,,lcnaf
"Pomeroy, Austin.",,Pomeroy,Austin,,,,,,,,lcnaf
"Schwellenbach, Lewis Baxter, 1894-1948.",,Schwellenbach,Lewis Baxter,,,,1894-1948,1894,1948,http://id.loc.gov/authorities/names/n86071759,lcnaf
"Shaw, Milton, 1889-1977.",,Shaw,Milton,,,,1889-1977,1889,1977,,lcnaf
"Read, Carrie.",,Read,Carrie,,,,,,,,lcnaf
"Belser, Karl J. (Karl Jacob), 1902-1972.",,Belser,Karl J.,,Karl Jacob,,1902-1972,1902,1972,,lcnaf
"Shattuck, Henry Lee, 1879-1971.",,Shattuck,Henry Lee,,,,1879-1971,1879,1971,http://id.loc.gov/authorities/names/n96049616,lcnaf
"Byrnes, James F. (James Francis), 1882-1972.",,Byrnes,James F.,,James Francis,,1882-1972,1882,1972,http://id.loc.gov/authorities/names/n80167019,lcnaf
"Holforty, Clifford W.",,Holforty,Clifford W,,,,,,,,lcnaf
"Gomez, Joseph, 1890-1979.",,Gomez,Joseph,,,,1890-1979,1890,1979,http://id.loc.gov/authorities/names/n98018663,lcnaf
"Morrill, J. L. (James Lewis), 1891-1979",,Morrill,J. L.,,James Lewis,,1891-1979,1891,1979,http://id.loc.gov/authorities/names/no2007083496,lcnaf
"Adenauer, Paul.",,Adenauer,Paul,,,,,,,,lcnaf
"Marquand, John P. (John Phillips), 1893-1960.",,Marquand,John P.,,John Phillips,,1893-1960,1893,1960,http://id.loc.gov/authorities/names/n79061320,lcnaf
"Craig, James Alexander, 1855-1932.",,Craig,James Alexander,,,,1855-1932,1855,1932,http://id.loc.gov/authorities/names/n80084634,lcnaf
"Wister, Owen, 1860-1938.",,Wister,Owen,,,,1860-1938,1860,1938,http://id.loc.gov/authorities/names/n79093083,lcnaf
"Borchard, Edwin Montefiore, 1884-1951.",,Borchard,Edwin Montefiore,,,,1884-1951,1884,1951,http://id.loc.gov/authorities/names/n50063490,lcnaf
"Burke, Charles Henry, 1861-1944.",,Burke,Charles Henry,,,,1861-1944,1861,1944,,lcnaf
"Knox, Patti.",,Knox,Patti,,,,,,,,lcnaf
"Palmer, Fidelia Randall.",,Palmer,Fidelia Randall,,,,,,,,lcnaf
"Pillemer, Louis, 1908-1957.",,Pillemer,Louis,,,,1908-1957,1908,1957,,lcnaf
"Fairchild, Fred Rogers, 1877-1966.",,Fairchild,Fred Rogers,,,,1877-1966,1877,1966,http://id.loc.gov/authorities/names/n88222553,lcnaf
"Johnston, George.",,Johnston,George,,,,,,,,lcnaf
"Ferry, William Montague, 1796-1867.",,Ferry,William Montague,,,,1796-1867,1796,1867,http://id.loc.gov/authorities/names/nr96044864,lcnaf
"Henderson, Yandell, 1873-1944.",,Henderson,Yandell,,,,1873-1944,1873,1944,http://id.loc.gov/authorities/names/no97032170,lcnaf
"Carr, Wilbur J. (Wilbur John), 1870-1942.",,Carr,Wilbur J.,,Wilbur John,,1870-1942,1870,1942,http://id.loc.gov/authorities/names/n86034218,lcnaf
"Baker, Frederick A., b. 1846.",,Baker,Frederick A.,,,,b. 1846,1846,,,lcnaf
"Graves, Benjamin Franklin, b. 1817.",,Graves,Benjamin Franklin,,,,b. 1817,1817,,,lcnaf
"Thurber, Jefferson G., 1807-1857.",,Thurber,Jefferson G.,,,,1807-1857,1807,1857,,lcnaf
"Carr, Bob, 1943-",,Carr,Bob,,,,b. 1943,1943,,,lcnaf
"Chiang, Kai-Shek 1887-1975.",,Chiang,Kai-Shek,,,,1887-1975,1887,1975,http://id.loc.gov/authorities/names/n80057046,lcnaf
"Freud, Sigmund, 1856-1939.",,Freud,Sigmund,,,,1856-1939,1856,1939,http://id.loc.gov/authorities/names/n79043849,lcnaf
"Jastrow, Joseph, 1863-1944.",,Jastrow,Joseph,,,,1863-1944,1863,1944,http://id.loc.gov/authorities/names/nr89014271,lcnaf
"Kelsey, Easton T.",,Kelsey,Easton T,,,,,,,,lcnaf
"Jefferson, Alexander, 1921-",,Jefferson,Alexander,,,,b. 1921,1921,,http://id.loc.gov/authorities/names/n2004148363,lcnaf
"Hunt, James B., 1799-1857.",,Hunt,James B.,,,,1799-1857,1799,1857,http://id.loc.gov/authorities/names/no2008077894,lcnaf
"Meally, John Edward, 1864-",,Meally,John Edward,,,,b. 1864,1864,,,lcnaf
"Moley, Raymond, 1886-1975.",,Moley,Raymond,,,,1886-1975,1886,1975,http://id.loc.gov/authorities/names/n79069778,lcnaf
"Giddings, Franklin Henry, 1855-1931.",,Giddings,Franklin Henry,,,,1855-1931,1855,1931,http://id.loc.gov/authorities/names/n50028016,lcnaf
"Engel, Albert Joseph, 1888-1959.",,Engel,Albert Joseph,,,,1888-1959,1888,1959,http://id.loc.gov/authorities/names/no2008189967,lcnaf
"Johnson, Hiram, 1866-1945.",,Johnson,Hiram,,,,1866-1945,1866,1945,http://id.loc.gov/authorities/names/n83179908,lcnaf
"Wright, Quincy, 1890-1970.",,Wright,Quincy,,,,1890-1970,1890,1970,http://id.loc.gov/authorities/names/n80056647,lcnaf
"Boston, Orlan W. (Orlan William), 1891-",,Boston,Orlan W.,,Orlan William,,b. 1891,1891,,,lcnaf
"Frappier, Jon.",,Frappier,Jon,,,,,,,http://id.loc.gov/authorities/names/n85222861,lcnaf
"Boucke, Ewald A. (Ewald Augustus), 1871-",,Boucke,Ewald A.,,Ewald Augustus,,b. 1871,1871,,http://id.loc.gov/authorities/names/n91083179,lcnaf
"Wiener, Richard.",,Wiener,Richard,,,,,,,,lcnaf
"Zeeman, Pieter, 1865-1943.",,Zeeman,Pieter,,,,1865-1943,1865,1943,,lcnaf
"Silvers, Phil, 1911-1985.",,Silvers,Phil,,,,1911-1985,1911,1985,http://id.loc.gov/authorities/names/n50031159,lcnaf
"Maurer, Wesley Henry, 1897-",,Maurer,Wesley Henry,,,,b. 1897,1897,,,lcnaf
"Cardozo, Benjamin N. (Benjamin Nathan), 1870-1938.",,Cardozo,Benjamin N.,,Benjamin Nathan,,1870-1938,1870,1938,http://id.loc.gov/authorities/names/n50032400,lcnaf
"Holquist, David J.",,Holquist,David J,,,,,,,,lcnaf
"Newhall, R. Frank, 1874-",,Newhall,R. Frank,,,,b. 1874,1874,,,lcnaf
"Romani, John Henry, 1925-",,Romani,John Henry,,,,b. 1925,1925,,,lcnaf
"Lesch, James.",,Lesch,James,,,,,,,,lcnaf
"Randall, Sarah Geddes.",,Randall,Sarah Geddes,,,,,,,,lcnaf
"Selkirk, James, 1790-1877.",,Selkirk,James,,,,1790-1877,1790,1877,,lcnaf
"Owen, George W.",,Owen,George W,,,,,,,,lcnaf
"Maroti, Geza.",,Maroti,Geza,,,,,,,http://id.loc.gov/authorities/names/nr91015393,lcnaf
"Kerman, Cynthia Earl.",,Kerman,Cynthia Earl,,,,,,,http://id.loc.gov/authorities/names/n86110371,lcnaf
"Upjohn, Uriah, 1808-1896.",,Upjohn,Uriah,,,,1808-1896,1808,1896,,lcnaf
"Henderson, Erma, 1917-",,Henderson,Erma,,,,b. 1917,1917,,http://id.loc.gov/authorities/names/n2005025788,lcnaf
"Pierce, William J.",,Pierce,William J,,,,,,,,lcnaf
"Cady, Burt D., 1874-",,Cady,Burt D.,,,,b. 1874,1874,,,lcnaf
"Lorimer, William, 1861-1934.",,Lorimer,William,,,,1861-1934,1861,1934,http://id.loc.gov/authorities/names/no98123404,lcnaf
"Charlesworth, James C. (James Clyde), 1900-1974",,Charlesworth,James C.,,James Clyde,,1900-1974,1900,1974,http://id.loc.gov/authorities/names/n50036375,lcnaf
"Spaulding, Thomas M. (Thomas Marshall), 1882-1973.",,Spaulding,Thomas M.,,Thomas Marshall,,1882-1973,1882,1973,,lcnaf
"Blair, Effie.",,Blair,Effie,,,,,,,,lcnaf
"Rippy, J. Fred (James Fred), 1892-1977.",,Rippy,J. Fred,,James Fred,,1892-1977,1892,1977,http://id.loc.gov/authorities/names/n50054857,lcnaf
"Saunders, Ed.",,Saunders,Ed,,,,,,,,lcnaf
"Havstad, Jeaneane.",,Havstad,Jeaneane,,,,,,,,lcnaf
"Davison, Archibald T. (Archibald Thompson), 1883-1961",,Davison,Archibald T.,,Archibald Thompson,,1883-1961,1883,1961,http://id.loc.gov/authorities/names/n85064882,lcnaf
"Talbert, Edward.",,Talbert,Edward,,,,,,,,lcnaf
"Lay, Walter Edwin.",,Lay,Walter Edwin,,,,,,,,lcnaf
"Merrelli, George, 1911-",,Merrelli,George,,,,b. 1911,1911,,,lcnaf
"Henry, Milton.",,Henry,Milton,,,,,,,,lcnaf
"Irwin, William Bradford.",,Irwin,William Bradford,,,,,,,,lcnaf
"Judson, Russell V.",,Judson,Russell V,,,,,,,,lcnaf
"Evans, Elizabeth Edson Gibson, 1832-1911.",,Evans,Elizabeth Edson Gibson,,,,1832-1911,1832,1911,http://id.loc.gov/authorities/names/n98073608,lcnaf
"Ferguson, Myrtle.",,Ferguson,Myrtle,,,,,,,http://id.loc.gov/authorities/names/n93069611,lcnaf
"Garfield, Lucretia Rudolph, 1832-1918.",,Garfield,Lucretia Rudolph,,,,1832-1918,1832,1918,http://id.loc.gov/authorities/names/n91107274,lcnaf
"Whipple, Fred L. (Fred Lawrence), 1906-2004",,Whipple,Fred L.,,Fred Lawrence,,1906-2004,1906,2004,http://id.loc.gov/authorities/names/n50017894,lcnaf
"Haidostian, Alice Berberian.",,Haidostian,Alice Berberian,,,,,,,,lcnaf
"Thomas, Elbert Duncan, 1883-1953.",,Thomas,Elbert Duncan,,,,1883-1953,1883,1953,http://id.loc.gov/authorities/names/n85059791,lcnaf
"Nader, Ralph.",,Nader,Ralph,,,,,,,http://id.loc.gov/authorities/names/n80067178,lcnaf
"Adams, Herbert, 1858-1945.",,Adams,Herbert,,,,1858-1945,1858,1945,http://id.loc.gov/authorities/names/nr89014346,lcnaf
"Weber, Paul W.",,Weber,Paul W,,,,,,,,lcnaf
"Kelsey, Francis W. (Francis Willey), 1858-1927.",,Kelsey,Francis W.,,Francis Willey,,1858-1927,1858,1927,http://id.loc.gov/authorities/names/nr90001124,lcnaf
"Sullivan, Carol.",,Sullivan,Carol,,,,,,,,lcnaf
"Winship, George Parker, 1871-1952.",,Winship,George Parker,,,,1871-1952,1871,1952,http://id.loc.gov/authorities/names/n50015326,lcnaf
"Hall, Frederick, 1816-1883.",,Hall,Frederick,,,,1816-1883,1816,1883,,lcnaf
"Jefferson, Alexander.",,Jefferson,Alexander,,,,,,,,lcnaf
"Manwaring, Joshua, 1824-1903.",,Manwaring,Joshua,,,,1824-1903,1824,1903,,lcnaf
"Baker, Wayne E.",,Baker,Wayne E,,,,,,,http://id.loc.gov/authorities/names/n93043323,lcnaf
"Alger, R. A. (Russell Alexander), 1836-1907.",,Alger,R. A.,,Russell Alexander,,1836-1907,1836,1907,http://id.loc.gov/authorities/names/n81099052,lcnaf
"Felipe, F.",,Felipe,F,,,,,,,,lcnaf
"Ackley, Gardner.",,Ackley,Gardner,,,,,,,http://id.loc.gov/authorities/names/n50036889,lcnaf
"Wood, James C. (James Craven), b. 1858.",,Wood,James C.,,James Craven,,b. 1858,1858,,,lcnaf
"Lemke, William, 1878-1950.",,Lemke,William,,,,1878-1950,1878,1950,http://id.loc.gov/authorities/names/n88274236,lcnaf
"Price, Hickman, 1911-",,Price,Hickman,,,,b. 1911,1911,,,lcnaf
"Morrill, Justin Smith, 1810-1898.",,Morrill,Justin Smith,,,,1810-1898,1810,1898,http://id.loc.gov/authorities/names/no89019451,lcnaf
"Evarts, William Maxwell, 1818-1901.",,Evarts,William Maxwell,,,,1818-1901,1818,1901,http://id.loc.gov/authorities/names/n84124640,lcnaf
"Edwards, Ann, d. 1962.",,Edwards,Ann,,,,d. 1962,,1962,,lcnaf
"Pearson, Drew, 1897-1969.",,Pearson,Drew,,,,1897-1969,1897,1969,http://id.loc.gov/authorities/names/n79115506,lcnaf
"Mack, Christian, 1834-1902.",,Mack,Christian,,,,1834-1902,1834,1902,,lcnaf
"Scanlon, Charles, 1869-1927.",,Scanlon,Charles,,,,1869-1927,1869,1927,http://id.loc.gov/authorities/names/no96065991,lcnaf
"Kelsey, John T., 1921-",,Kelsey,John T.,,,,b. 1921,1921,,,lcnaf
"Rose, Preston Benjamin, 1834-1912.",,Rose,Preston Benjamin,,,,1834-1912,1834,1912,,lcnaf
"Cabot, William Brooks, 1858-1949.",,Cabot,William Brooks,,,,1858-1949,1858,1949,http://id.loc.gov/authorities/names/no2011142031,lcnaf
"Baldwin, Richard L.",,Baldwin,Richard L,,,,,,,http://id.loc.gov/authorities/names/n94056519,lcnaf
"Green, Fred W. (Fred Warren), 1872-1936.",,Green,Fred W.,,Fred Warren,,1872-1936,1872,1936,http://id.loc.gov/authorities/names/no2008183293,lcnaf
"Staebler, Edward William, 1872-1946.",,Staebler,Edward William,,,,1872-1946,1872,1946,,lcnaf
"Miley, Paul E., 1907-",,Miley,Paul E.,,,,b. 1907,1907,,,lcnaf
"Birney, Bridget McClear, 1820-1893.",,Birney,Bridget McClear,,,,1820-1893,1820,1893,,lcnaf
"Aly, Bower, 1903-1977",,Aly,Bower,,,,1903-1977,1903,1977,http://id.loc.gov/authorities/names/n50024120,lcnaf
"Hymans, Saul H.",,Hymans,Saul H,,,,,,,http://id.loc.gov/authorities/names/n81134791,lcnaf
"Darvas, Robert M.",,Darvas,Robert M,,,,,,,,lcnaf
"Vollenhaven, C. V.",,Vollenhaven,C. V,,,,,,,,lcnaf
"McDowell, Robert H.",,McDowell,Robert H,,,,,,,,lcnaf
"Russell, James E. (James Earl), 1864-1945",,Russell,James E.,,James Earl,,1864-1945,1864,1945,http://id.loc.gov/authorities/names/no97000820,lcnaf
"Fink, George Rupert, 1886-",,Fink,George Rupert,,,,b. 1886,1886,,,lcnaf
"Snyder, John W. (John Wesley), 1895-1985.",,Snyder,John W.,,John Wesley,,1895-1985,1895,1985,http://id.loc.gov/authorities/names/n90657980,lcnaf
"Patterson, Merib Rowley.",,Patterson,Merib Rowley,,,,,,,http://id.loc.gov/authorities/names/n89612059,lcnaf
"Worcester, Dean C. (Dean Conant), 1866-1924.",,Worcester,Dean C.,,Dean Conant,,1866-1924,1866,1924,http://id.loc.gov/authorities/names/n86828116,lcnaf
"Michener, Lewis H., 1908-1974",,Michener,Lewis H.,,,,1908-1974,1908,1974,http://id.loc.gov/authorities/names/n91070770,lcnaf
"Beal, Rice Aner, 1823-1883.",,Beal,Rice Aner,,,,1823-1883,1823,1883,,lcnaf
"Duderstadt, James J., 1942-",,Duderstadt,James J.,,,,b. 1942,1942,,http://id.loc.gov/authorities/names/n81055160,lcnaf
"Yost, Lawrence, 1915-",,Yost,Lawrence,,,,b. 1915,1915,,,lcnaf
"Colby, Walter F. (Walter Francis), 1880-",,Colby,Walter F.,,Walter Francis,,b. 1880,1880,,http://id.loc.gov/authorities/names/n87833338,lcnaf
"Guthe, Carl Eugen, 1893-",,Guthe,Carl Eugen,,,,b. 1893,1893,,,lcnaf
"Sharp, Alexander Jefferson.",,Sharp,Alexander Jefferson,,,,,,,,lcnaf
"Gallico, Paul, 1897-1976",,Gallico,Paul,,,,1897-1976,1897,1976,http://id.loc.gov/authorities/names/n79114016,lcnaf
"Proxmire, William.",,Proxmire,William,,,,,,,http://id.loc.gov/authorities/names/n79148254,lcnaf
"Allen, Emmet O. (Emmet Oliver), 1846-1933.",,Allen,Emmet O.,,Emmet Oliver,,1846-1933,1846,1933,,lcnaf
"Harper, William Rainey, 1856-1906.",,Harper,William Rainey,,,,1856-1906,1856,1906,http://id.loc.gov/authorities/names/n50026087,lcnaf
"Jones, Sarah Van Hoosen.",,Jones,Sarah Van Hoosen,,,,,,,,lcnaf
"Wells, William Palmer, 1831-1891.",,Wells,William Palmer,,,,1831-1891,1831,1891,,lcnaf
"Arnold, Orlan.",,Arnold,Orlan,,,,,,,,lcnaf
"Vess, Ray.",,Vess,Ray,,,,,,,,lcnaf
"Warner, Jack L., 1892-1978.",,Warner,Jack L.,,,,1892-1978,1892,1978,http://id.loc.gov/authorities/names/n85378842,lcnaf
"Downes, John, 1784-1854.",,Downes,John,,,,1784-1854,1784,1854,http://id.loc.gov/authorities/names/nr2001012250,lcnaf
"Kuhn, Richard, 1900-1967.",,Kuhn,Richard,,,,1900-1967,1900,1967,http://id.loc.gov/authorities/names/n87127152,lcnaf
"Moton, Robert Russa, 1867-1940.",,Moton,Robert Russa,,,,1867-1940,1867,1940,http://id.loc.gov/authorities/names/n82120483,lcnaf
"Scranton, Myron W.",,Scranton,Myron W,,,,,,,,lcnaf
"Wade, Benjamin Franklin, 1800-1878.",,Wade,Benjamin Franklin,,,,1800-1878,1800,1878,http://id.loc.gov/authorities/names/n85367522,lcnaf
"Hamilton, George L. (George Livingstone), 1874-1940.",,Hamilton,George L.,,George Livingstone,,1874-1940,1874,1940,http://id.loc.gov/authorities/names/nr99020419,lcnaf
"Margolis, Philip M., 1925-",,Margolis,Philip M.,,,,b. 1925,1925,,,lcnaf
"Beston, Henry, 1888-1968.",,Beston,Henry,,,,1888-1968,1888,1968,http://id.loc.gov/authorities/names/n78095527,lcnaf
"Kevorkian, Jack.",,Kevorkian,Jack,,,,,,,,lcnaf
"Schwimmer, Rosika, 1877-1948.",,Schwimmer,Rosika,,,,1877-1948,1877,1948,http://id.loc.gov/authorities/names/n90687544,lcnaf
"Howe, A. A. DeWolfe.",,Howe,A. A. DeWolfe,,,,,,,,lcnaf
"Wheeler, Frederick, 1862-",,Wheeler,Frederick,,,,b. 1862,1862,,,lcnaf
"Bliss, Philemon, 1814-1889.",,Bliss,Philemon,,,,1814-1889,1814,1889,http://id.loc.gov/authorities/names/n88070946,lcnaf
"King, William Lyon Mackenzie, 1874-1950.",,King,William Lyon Mackenzie,,,,1874-1950,1874,1950,http://id.loc.gov/authorities/names/n50048099,lcnaf
"Bruce, E. D.",,Bruce,E. D,,,,,,,,lcnaf
"Davis, Jerome, 1891-1979",,Davis,Jerome,,,,1891-1979,1891,1979,http://id.loc.gov/authorities/names/n89608975,lcnaf
"Stanley, David Sloane, 1828-1902.",,Stanley,David Sloane,,,,1828-1902,1828,1902,http://id.loc.gov/authorities/names/n83060788,lcnaf
"Kent, James, 1763-1847.",,Kent,James,,,,1763-1847,1763,1847,http://id.loc.gov/authorities/names/n50044749,lcnaf
"Reimann, Irving G.",,Reimann,Irving G,,,,,,,,lcnaf
"Allport, Gordon W. (Gordon Willard), 1897-1967.",,Allport,Gordon W.,,Gordon Willard,,1897-1967,1897,1967,http://id.loc.gov/authorities/names/n79044016,lcnaf
"Doyle, William F.",,Doyle,William F,,,,,,,,lcnaf
"Hassen, Aliya, 1910-1990.",,Hassen,Aliya,,,,1910-1990,1910,1990,,lcnaf
"Miller, Arthur.",,Miller,Arthur,,,,,,,,lcnaf
"Kamm, Greg",,Kamm,Greg,,,,,,,,lcnaf
"Abbitt, W. H.",,Abbitt,W. H,,,,,,,,lcnaf
"Harvey, James, 1922-",,Harvey,James,,,,b. 1922,1922,,http://id.loc.gov/authorities/names/n92109141,lcnaf
"Brown, Elizabeth Gaspar",,Brown,Elizabeth Gaspar,,,,,,,,lcnaf
"Waples, Rufus, 1825-1902.",,Waples,Rufus,,,,1825-1902,1825,1902,http://id.loc.gov/authorities/names/n87856606,lcnaf
"Kalisch, Philip Arthur.",,Kalisch,Philip Arthur,,,,,,,http://id.loc.gov/authorities/names/n81052343,lcnaf
"Satterthwaite, Leroy.",,Satterthwaite,Leroy,,,,,,,,lcnaf
"Long, Ray, 1878-1935.",,Long,Ray,,,,1878-1935,1878,1935,http://id.loc.gov/authorities/names/n86071920,lcnaf
"Ehlers, John, Mrs.",Mrs.,Ehlers,John,,,,,,,,lcnaf
"Bartlett, Harley Harris, 1886-1960.",,Bartlett,Harley Harris,,,,1886-1960,1886,1960,http://id.loc.gov/authorities/names/n85802228,lcnaf
"McClanahan, Jack.",,McClanahan,Jack,,,,,,,,lcnaf
"Rominger, Julia.",,Rominger,Julia,,,,,,,,lcnaf
"Strauss, Lewis Lichtenstein, 1896-",,Strauss,Lewis Lichtenstein,,,,b. 1896,1896,,,lcnaf
"Hollander, Jacob Harry, 1871-1940.",,Hollander,Jacob Harry,,,,1871-1940,1871,1940,http://id.loc.gov/authorities/names/n50035247,lcnaf
"Sunderland, Edson R. (Edson Read), b. 1874.",,Sunderland,Edson R.,,Edson Read,,b. 1874,1874,,,lcnaf
"McMahon, Brien, 1903-1952.",,McMahon,Brien,,,,1903-1952,1903,1952,http://id.loc.gov/authorities/names/n96087702,lcnaf
"Starkie, Enid.",,Starkie,Enid,,,,,,,http://id.loc.gov/authorities/names/n50023287,lcnaf
"Nissen, Rudolf, 1896-",,Nissen,Rudolf,,,,b. 1896,1896,,http://id.loc.gov/authorities/names/n85808455,lcnaf
"Schwarz, J. E., 1799-1858.",,Schwarz,J. E.,,,,1799-1858,1799,1858,,lcnaf
"Merrill, D. Bailey, 1912-",,Merrill,D. Bailey,,,,b. 1912,1912,,,lcnaf
"Moncrieff, Frederick E.",,Moncrieff,Frederick E,,,,,,,,lcnaf
"Rivers, Lynn N.",,Rivers,Lynn N,,,,,,,,lcnaf
"Van Koevering, Adrian, 1874-1960.",,Van Koevering,Adrian,,,,1874-1960,1874,1960,,lcnaf
"Hubel, R. W.",,Hubel,R. W,,,,,,,,lcnaf
"Compton, K. T. (Karl Taylor), 1887-1954.",,Compton,K. T.,,Karl Taylor,,1887-1954,1887,1954,http://id.loc.gov/authorities/names/n88616959,lcnaf
"Krieger, Alex D. (Alex Dony), 1911-1991",,Krieger,Alex D.,,Alex Dony,,1911-1991,1911,1991,http://id.loc.gov/authorities/names/n89629566,lcnaf
"Geltz, Albert E.",,Geltz,Albert E,,,,,,,,lcnaf
"Hatcher, Harlan, 1898-1998.",,Hatcher,Harlan,,,,1898-1998,1898,1998,http://id.loc.gov/authorities/names/n50033375,lcnaf
"King, Clyde Lyndon, 1879-1937.",,King,Clyde Lyndon,,,,1879-1937,1879,1937,http://id.loc.gov/authorities/names/n80025718,lcnaf
"Abbott, Bud.",,Abbott,Bud,,,,,,,,lcnaf
"Rea, Paul Marshall, 1878-",,Rea,Paul Marshall,,,,b. 1878,1878,,,lcnaf
"Baldwin, Henry P. (Henry Porter), 1814-1892.",,Baldwin,Henry P.,,Henry Porter,,1814-1892,1814,1892,http://id.loc.gov/authorities/names/no91021187,lcnaf
"Pinchot, Amos Richards Eno, 1873-1944.",,Pinchot,Amos Richards Eno,,,,1873-1944,1873,1944,,lcnaf
"Canby, Henry Seidel, 1878-1961.",,Canby,Henry Seidel,,,,1878-1961,1878,1961,http://id.loc.gov/authorities/names/n50051945,lcnaf
"Harrington, Mark Walrod, 1848-1926.",,Harrington,Mark Walrod,,,,1848-1926,1848,1926,http://id.loc.gov/authorities/names/no2004054718,lcnaf
"Smith, Henry D.",,Smith,Henry D,,,,,,,,lcnaf
"Winegar, George O.",,Winegar,George O,,,,,,,http://id.loc.gov/authorities/names/n93098942,lcnaf
