extent name,number of discrete appearances of extent type in EAD files,total extent size through all collections
folders 1-17,1,0
folders 1-18,1,0
folders 1-2,1,0
folders 1-24,1,0
folders 1-9,1,0
folders 1-[x] of 4,1,0
folders 10-11,1,0
folders 12-15,1,0
folders 14-15,1,0
folders 15-25,1,0
folders 16-18,1,0
folders 18-40,1,0
folders 19-39,1,0
folders 25-47,1,0
folders 28-30,1,0
folders 3-11,1,0
folders 3-[x] of 4,1,0
folders 4-10,1,0
folders 4-8,1,0
folders 4-9,1,0
folders 40-60,1,0
folders 41-60,1,0
folders 48-49,1,0
folders 5-12,1,0
folders 5-21,1,0
folders 61-77,1,0
folders 61-82,1,0
folders 7-11,1,0
folders 7-13,1,0
folders 7-19,1,0
folders 7-27,1,0
folders 7-8,1,0
folders 7-9,1,0
folders 8-10,1,0
folders 8-9,1,0
folders 83-102,1,0
folders [x] through 11,1,0
folders [x] through 7,1,0
folders alphabetically arranged,1,14.0
folders also medium,1,2.0
folders folders,1,2.0
folders of [x] black,1,2.0
folders of b&w prints,1,10.0
folders of black,1,2.0
folders of color prints,1,9.0
folders of pages taken from photo albums,1,28.0
folders of photos,1,2.0
folders with CD,1,2.0
folders) folders,1,3.0
folders; formerly in binders,1,14.0
folders; through letter J only,1,4.0
forty architectural,1,0
forty-five prints,1,0
forty-one prints,1,0
forty-two 8x10-inch,1,0
four  cassettes,1,0
four 3x5-inch,1,0
four 8x10-inch,1,0
"four [x] 1/2"" reels",1,0
four by Greg Hursley,1,0
four cassettes,1,0
four perspective,1,0
four perspectives,1,0
fourteen by Manning Bros,1,0
fourteen cassettes,1,0
fourteen drawings,1,0
fourteen perspectives,1,0
fragments,1,0
ft,1,3.0
furniture layout drawings,1,0
generally by academic year),1,0
glass negatives),1,3.0
glossy photographs,1,4.0
grading,1,0
hour [x] min,1,1.0
hr. [x] min. [x] sec,1,1.0
hrs,1,3.0
images on [x] CD,1,110.0
in English,1,0
in [x] folder,1,0
in [x] strips,1,0
in. reel-to-reel,1,7.0
in. reel-to-reel tape,1,7.0
in. reel-to-reel tapes,1,7.0
in. reels,1,7.0
inch reel,1,5.0
inch reel; [x] mm. color sound reel,1,7.0
inch.,1,0
includes Data Systems,1,0
includes [x] architects drawings,1,0
includes an audiocassette,1,0
includes extra prints,1,0
includes images that have been printed,1,0
includes negatives,1,0
includes original drawings,1,0
includes original working drawing,1,0
includes photograph,1,0
includes photos with wife,1,0
includes prints not used,1,0
including [x] of awards received,1,0
including [x] v. for 1874,1,0
including one with wife & children,1,0
including other people,1,0
including photos with Leslie Caron,1,0
including winter scenes,1,0
indices; [x] pp,1,4.0
ink drawings on vellum,1,0
ink on linen,1,3.0
ink-on-vellum,1,0
irrigation drawings,1,0
issue,1,1.0
issues 1-10,1,0
item in outsize folder,1,1.0
items in [x] folder,1,2.0
items in outsize folder,1,0
items located in outsize folder,1,3.0
l folder,1,0
lacking 1965-1969,1,0
landscape,1,0
landscape drawings),1,0
large  only,1,0
leaves,1,3.0
less than [x] min,1,0
li. inches,1,6.0
linear feet in [x] folders,1,0.6
linear feet),1,0.5
linear ft. [x] drawings,1,1.5
linear ft.),1,0.25
lined up,1,0
linen,1,0
liner feet,1,4.25
loose,1,19.0
loose clippings,1,0
loose materials,1,0
loose photos,1,0
map ms,1,1.0
map. : ms,1,1.0
maps: ms,1,20.0
master negative only,1,0
mechanical/electrical drawings,1,0
medium size only,1,0
microfilm,1,0
microfilm reels,1,2.0
microfilm reels (negative),1,2.0
microfilm roll,1,1.0
min. [x] sec,1,15.0
mini DV tapes,1,8.0
mini DVs,1,3.0
mini cassettes,1,5.0
mini digital cassette,1,1.0
missing volumes II-VIII,1,0
missing volumes III,1,0
mm films,1,3.0
mm negatives,1,0
mm reels,1,8.0
mm strip of [x] negatives,1,35.0
mostly 4x[x] & 2x4,1,0
mostly 7x9,1,0
mostly 8x10; see na 9281-9282,1,0
mostly 8x[x] & 5x7; see na 9283,1,0
motion picture film reels,1,2.0
mounted,1,0
mounted print folders,1,1.0
mounted renderings,1,2.0
mp[x] files compressed in [x] zip file,1,4.0
na3103-na3112,1,0
negative copies,1,0
negative folders,1,1.0
negatives folders,1,2.0
negatives of [x] schools,1,5.0
negatives plus Ivory notes,1,10.0
negatives prints,1,0
negatives with contact prints,1,0
negs/cs,1,0
"nine 7"" reels",1,0
nine by Santangelo Studio,1,0
nine survey,1,0
nineteen 7-1/2x9-1/[x] inch,1,0
nineteen drawings,1,0
ninety-five prints,1,0
ninety-seven color slides,1,0
ninety-six 7-1/2x9-1/2-inch,1,0
ninety-three 4x6-inch,1,0
no 1945,1,0
no 1960,1,0
no. 1-15,1,0
notebook binders,1,2.0
notebook folders,1,1.0
notebook in folder,1,1.0
notebooks now in folders,1,2.0
notes,1,0
numbers:,1,11.0
of furnishings,1,0
olders,1,2.0
one  May be bad,1,0
"one ""superseded""",1,0
one 1-1/2x3-1/2-inch,1,0
one 2-1/2x4-inch,1,0
one 3-1/2x5-inch,1,0
one 4-1/2x6-inch,1,0
one 4x13-inch,1,0
one 4x6-inch,1,0
one 5-1/2x17-inch,1,0
one 5x5-inch,1,0
one 5x7-1/2-inch,1,0
one 6-1/2x9-1/2-inch,1,0
one 6x26-inch,1,0
"one 7""  reel",1,0
one 7-1/2x16-1/2-inch,1,0
one 7-1/2x18-inch,1,0
one 7-1/2x19-1/2-inch,1,0
one 8x10-inch black-and-white electrostatic print,1,0
one 8x10-inch black-and-white print by unknown photographer,1,0
one 8x10-inch print by Don Walker,1,0
one CD-ROM,1,0
"one [x] 1/4"" reel",1,0
one binder,1,0
one brown folder,1,0
one by Alliance Commercial Photo Co,1,0
one by Daniel Bartush,1,0
one by Hursley,1,0
one color Polaroid print,1,0
one color positive print,1,0
one copy,1,0
one drawing of two elevations,1,0
one electrostatic copy of schematic design sketch,1,0
one electrostatic print on mylar,1,0
one expandable folder,1,0
one floor plan,1,0
one issue,1,0
"one marked ""no good",1,0
"one marked ""no good""",1,0
one not identified,1,0
one of wife,1,0
one oversize poster,1,0
one pencil,1,0
one perspective drawing,1,0
one print of site plan,1,0
one schematic design site plan,1,0
one slide box,1,0
one with blue wraps,1,0
one with brown wraps,1,0
one with daughter,1,0
one with graduate students,1,0
one with wife,1,0
only two dated,1,0
open reel cassettes,1,0
open reel tape,1,1.0
original--damaged,1,1.0
outsize folder,1,1.0
outsize folder (shelved in Bimu/B8/Out),1,1.0
outsize located in outsize folder in Box 76,1,0
outsize vols,1,7.0
outsize volume,1,1.0
oversize album,1,1.0
oversize boards,1,4.0
oversize bundle,1,1.0
oversize scrapbooks,1,3.0
oversized folders,1,2.0
p,1,19.0
p. ([x] sheet folded),1,4.0
packets of 4x[x] negs,1,2.0
page,1,2.0
pages (unbound copy,1,141.0
pages of  negatives,1,3.0
pages of contact prints,1,8.0
pamphlet,1,1.0
panels,1,12.0
papers,1,2.0
partial cs,1,0
parts in [x] volumes,1,5.0
pencil caricature,1,0
pencil on heavy paper,1,3.0
pencil on paper,1,2.0
people,1,0
perspective drawings,1,0
perspectives,1,0
phonograph discs,1,8.0
phonograph discs in [x] carrying case,1,35.0
phonograph records,1,3.0
photgraphs of portraits),1,2.0
photo albums,1,12.0
photo albums from Phi Delta Theta fraternity's classes of 1912,1,2.0
photo books,1,6.0
photo slide trays,1,7.0
photocopy--complete,1,1.0
photograph,1,1.0
photograph album,1,1.0
photographic negatives in [x] folder,1,43.0
photographs & [x] pen & ink drawing,1,3.0
photographs folders,1,2.0
photographs of portrait,1,2.0
photomechanical reproductions,1,5.0
photoprints,1,6.0
photos -- [x] attached,1,46.0
photos folders,1,0
photos of block form various perspectives,1,8.0
photostats,1,2.0
piece,1,1.0
plaques,1,3.0
plates),1,2.0
plumbing,1,0
plus negs,1,10.0
pocket folder,1,1.0
portfolio file,1,1.0
portfolios of index cards,1,2.0
portrait book,1,1.0
portraits,1,2.0
positive,1,0
pp.; [x] copies,1,3.0
primarily 1948-1960,1,0
print (cut up),1,1.0
print (for contact sheet,1,1.0
printed version,1,0
prints in [x] volumes,1,1326.0
prints in two envelopes,1,77.0
profile : ms,1,1.0
program,1,1.0
programs/reel,1,2.0
proofs,1,23.0
q cd,1,0
quark files,1,0
record only,1,1.0
red ink on tracing paper,1,0
reel 4,1,0
reel [x] only,1,0
reel microfilm6,1,1.0
reel of [13] retained,1,1.0
reel positive,1,1.0
reel retained,1,1.0
reel-to-reel  tapes,1,83.0
reel-to-reel audio recordings,1,5.0
reel-to-reel audio tapes [x] 1/[x] ips,1,2.0
reel-to-reel tapes;,1,3.0
reel; [x] min,1,1.0
reel; partial reel only,1,1.0
reels 5-6,1,0
reels in one can; formerly [x] reels,1,2.0
reels retained),1,9.0
reels wound on one large reel,1,4.0
reels; black,1,16.0
renderings,1,0
roll micrifilm,1,1.0
roll of microfilm,1,1.0
rolled photographs,1,3.0
rolls unmounted color slide film,1,3.0
rpm,1,45.0
running time,1,0
s,1,0
s[x] folders,1,0
scattered issues; [x] issues,1,0
sec,1,10.0
second PSA,1,60.0
"see ""The Boy Who Played with  Dolls"")",1,0
see also Buildings / Power Center,1,0
sepia,1,0
sepia                                             prints,1,0
sepia                                         print,1,0
set of four records,1,0
sets in [x] volumes,1,2.0
settee perspectives,1,0
seven 10x13-inch,1,0
seven 6-1/4x9-inch,1,0
seven architectural drawings,1,0
seventeen drawings,1,0
seventeen prints,1,0
seventy color slides,1,0
seventy-nine prints,1,0
seventy-seven 7-1/2x9-1/2-inch,1,0
seventy-seven color slides,1,0
sheet : blackline print on paper ; 48.[x] x 60.[x] cm. (19-1/[x] x [x] in.) or smaller,1,1.0
sheet : blackline print on paper ; 54.[x] x [x] cm. (21-3/[x] x 29-1/[x] in.) or smaller,1,1.0
sheet : blueprint on paper ; 64.[x] x 41.[x] cm. (25-1/[x] x 16-1/[x] in.) or smaller,1,1.0
sheet : pencil on tracing paper ; 33.[x] x 51.[x] cm. (13-1/[x] x 20-1/[x] in.) or smaller,1,1.0
sheet : pencil on tracing paper ; 43.[x] x 38.[x] cm. (17-1/[x] x 15-3/[x] in.) or smaller,1,1.0
sheet : pencil on tracing paper ; 82.[x] x 35.[x] cm. (32-1/[x] x 14-1/[x] in.) or smaller,1,1.0
sheet : pencil with pastel on tracing paper ; 22.[x] x 19.[x] cm. ([x] x 7-3/[x] in.) or smaller,1,1.0
sheet : pencil with pastel on tracing paper ; 43.[x] x 38.[x] cm. (17-1/[x] x 15-1/[x] in.) or smaller,1,1.0
sheet : pencil with pastel on tracing paper ; 43.[x] x 56.[x] cm. (17-1/[x] x 22-1/[x] in.) or smaller,1,1.0
sheet : sepia print on paper ; [x] x [x] cm. ([x] x 42-1/[x] in.) or smaller,1,1.0
sheets (of a [x] sheet map ?,1,8.0
sheets : blackline prints on paper ; [x] x 57.[x] cm. (16-1/[x] x 22-5/[x] in.) or smaller. folders,1,9.0
sheets : ink on tracing paper ; 20.[x] x 23.[x] cm. ([x] x 9-1/[x] in.) or smaller,1,2.0
sheets : pencil on paper ; 20.[x] x 31.[x] cm. ([x] x 12-1/[x] in.) or smaller,1,3.0
sheets : pencil on tracing paper ; 45.[x] x 37.[x] cm. ([x] x 14-7/[x] in.) or smaller,1,2.0
sheets : pencil on tracing paper ; 57.[x] x [x] cm. (22-5/[x] x 22-7/[x] in.) or smaller,1,12.0
sheets : pencil on tracing paper ; 60.[x] x 116.[x] cm. (23-3/[x] x 45-3/[x] in.) or smaller,1,27.0
sheets : pencil on tracing paper ; [x] x 69.[x] cm. ([x] x 27-1/[x] in.) or smaller,1,16.0
sheets : pencil on tracing paper ; [x] x [x] cm. (25-5/[x] x 22-1/[x] in.) or smaller,1,2.0
sheets : pencil with pastel on tracing paper ; 24.[x] x 45.[x] cm. (9-3/[x] x 17-3/[x] in.) or smaller,1,2.0
sheets : sepia prints on paper ; 133.[x] x 88.[x] cm. (55-1/[x] x 34-7/8in.) or smaller,1,14.0
sheets : sepia prints on paper mounted on clothe ; 95.[x] x [x] cm. (37-5/[x] x 71-1/[x] in.) or smaller,1,7.0
sheets : various media : 26.[x] x 30.[x] cm. (10-3/[x] x 11-7/[x] in.) or smaller,1,2.0
sheets : various media : 61.[x] x 83.[x] cm. (24-3/[x] x [x] in.) or smaller,1,11.0
sheets : various media : [x] x 97.[x] cm. (20-1/[x] x 38-1/[x] in.) or smaller,1,10.0
sheets : various media ; 101.[x] x [x] cm. ([x] x 42-1/8in.) or smaller,1,97.0
sheets : various media ; 103.[x] x 151.[x] cm. (40-7/[x] x 59-1/[x] in.) or smaller,1,174.0
sheets : various media ; 106.[x] x 135.[x] cm. (41-3/[x] x [x] in.) or smaller,1,64.0
sheets : various media ; 110.[x] x 144.[x] cm. (43-1/[x] x [x] in.) or smaller,1,94.0
sheets : various media ; 21.[x] x 28.[x] cm. (8-1/[x] x 11-1/[x] in.) or smaller,1,2.0
sheets : various media ; 28.[x] x 22.[x] cm. ([x] x 8-1/[x] in.) or smaller,1,5.0
sheets : various media ; 29.[x] x 35.[x] cm. (11-5/[x] x [x] in.) or smaller,1,4.0
sheets : various media ; 33.[x] x 61.[x] cm. (13-1/[x] x [x] in.) or smaller,1,2.0
sheets : various media ; 36.[x] x [x] cm. (14-3/[x] x 28-3/4in.) or smaller,1,5.0
sheets : various media ; 37.[x] x 46.[x] cm. (14-7/[x] x 18-3/[x] in.) or smaller,1,8.0
sheets : various media ; 38.[x] x 80.[x] cm. (15-1/[x] x 31-3/[x] in.) or smaller,1,3.0
sheets : various media ; 41.[x] x 45.[x] cm. (16-1/[x] x [x] in.) or smaller,1,7.0
sheets : various media ; 43.[x] x 56.[x] cm. (17-1/[x] x 22-1/[x] in.) or smaller,1,3.0
sheets : various media ; 43.[x] x 56.[x] cm. ([x] x 22-1/[x] in.) or smaller,1,3.0
sheets : various media ; 43.[x] x 56cm. ([x] x 22-1/8in.) or smaller,1,2.0
sheets : various media ; 43.[x] x 83.[x] cm. ([x] x 32-7/[x] in.) or smaller,1,12.0
sheets : various media ; 44.[x] x 34.[x] cm. (17-1/[x] x 13-5/[x] in.) or smaller,1,4.0
sheets : various media ; 44.[x] x 56.[x] cm. (17-1/[x] x 21-7/[x] in.) or smaller,1,10.0
sheets : various media ; 44.[x] x 60.[x] cm. (17-5/[x] x 23-7/[x] in.) or smaller,1,8.0
sheets : various media ; 44.[x] x 63.[x] cm. ([x] x 24-3/[x] in.) or smaller,1,7.0
sheets : various media ; 44.[x] x 70.[x] cm. (17-1/[x] x 27-3/[x] in.) or smaller,1,7.0
sheets : various media ; 44.[x] x 83.[x] cm. (17-3/[x] x [x] in.) or smaller,1,13.0
sheets : various media ; 46.[x] x [x] cm. (18-1/[x] x [x] in.) or smaller,1,12.0
sheets : various media ; 49.[x] x 60.[x] cm. (19-5/[x] x 23-6/[x] in.) or smaller,1,7.0
sheets : various media ; 50.[x] x 67.[x] cm. (19-1/[x] x 26-1/[x] in.) or smaller,1,10.0
sheets : various media ; 53.[x] x 83.[x] cm. (21-1/[x] x [x] in.) or smaller,1,14.0
sheets : various media ; 54.[x] x 81.[x] cm. (21-1/[x] x [x] in.) or smaller,1,6.0
sheets : various media ; 54.[x] x 85.[x] cm. (21-3/[x] x 33-3/[x] in.) or smaller,1,6.0
sheets : various media ; 55.[x] x 66.[x] cm. (21-3/[x] x 26-1/[x] in.) or smaller,1,3.0
sheets : various media ; 56.[x] x 22-1/[x] cm. (87.[x] x 34-1/[x] in.) or smaller,1,25.0
sheets : various media ; 56.[x] x 99.[x] cm. (23-1/[x] x 39-1/[x] in.) or smaller,1,19.0
sheets : various media ; 57.[x] x 71.[x] cm. (22-5/[x] x 28-1/[x] in.) or smaller,1,9.0
sheets : various media ; 57.[x] x 77.[x] cm. (22-1/[x] x 30-1/[x] in.) or smaller,1,7.0
sheets : various media ; 57.[x] x [x] cm. (22-1/[x] x [x] in.) or smaller,1,3.0
sheets : various media ; 60.[x] x 103.[x] cm. (23-7/[x] x 40-7/[x] in.) or smaller,1,20.0
sheets : various media ; 60.[x] x 85.[x] cm. (23-3/[x] x 33-1/[x] in.) or smaller,1,2.0
sheets : various media ; 60.[x] x 92.[x] cm. ([x] x 36-1/[x] in.) or smaller,1,3.0
sheets : various media ; 60.[x] x 97.[x] cm. ([x] x 38-3/[x] in.) or smaller,1,73.0
sheets : various media ; 60.[x] x [x] cm. (23-3/[x] x 28-3/[x] in.) or smaller,1,19.0
sheets : various media ; 60.[x] x [x] cm. (23-7/[x] x 22-1/[x] in.) or smaller,1,4.0
sheets : various media ; 63.[x] x 71.[x] cm. ([x] x 18-1/[x] in.) or smaller,1,19.0
sheets : various media ; 63.[x] x [x] cm. (25-1/[x] x 33-1/[x] in.) or smaller,1,30.0
sheets : various media ; 64.[x] x 83.[x] cm. (25-1/[x] x [x] in.) or smaller,1,3.0
sheets : various media ; 64.[x] x 85.[x] cm. (25-1/[x] x 33-5/[x] in.) or smaller,1,15.0
sheets : various media ; 64.[x] x 90.[x] cm. (25-1/[x] x 35-5/[x] in.) or smaller,1,26.0
sheets : various media ; 64.[x] x 91.[x] cm. (25-1/[x] x [x] in.) or smaller,1,11.0
sheets : various media ; 65.[x] x 25-3/[x] cm. (83.[x] x 32-5/[x] in.) or smaller,1,12.0
sheets : various media ; 65.[x] x 83.[x] cm. (25-3/[x] x 32-1/[x] in.) or smaller,1,8.0
sheets : various media ; 65.[x] x 83.[x] cm. (25-3/[x] x [x] in.) or smaller,1,3.0
sheets : various media ; 65.[x] x75.[x] cm. (25-7/[x] x 29-7/[x] in.) or smaller,1,4.0
sheets : various media ; 66.[x] x 76.[x] cm. (26-1/[x] x 30-1/[x] in.) or smaller,1,3.0
sheets : various media ; 66.[x] x [x] cm. (26-1/[x] x 33-7/[x] in.) or smaller,1,8.0
sheets : various media ; 68.[x] x 85.[x] cm. ([x] x 33-3/[x] in.) or smaller,1,27.0
sheets : various media ; 68.[x] x 92.[x] cm. (26-3/[x] x 35-7/[x] in.) or smaller,1,24.0
sheets : various media ; 69.[x] x 71.[x] cm. (27-2/[x] x 28-1/[x] in.) or  smaller,1,25.0
sheets : various media ; 70.[x] x 89.[x] cm. (27-5/[x] x 35-1/[x] in.) or smaller,1,25.0
sheets : various media ; 71.[x] x 86.[x] cm. (28-1/[x] x 34-1/[x] in.) or smaller,1,27.0
sheets : various media ; 72.[x] x 107.[x] cm. (28-5/[x] x 42-1/[x] in.) or smaller,1,8.0
sheets : various media ; 72.[x] x 86.[x] cm. (28-3/[x] x 33-7/[x] in.) or smaller,1,10.0
sheets : various media ; 72.[x] x 91.[x] cm. (28-5/[x] x 35-7/[x] in.) or smaller,1,18.0
sheets : various media ; 73.[x] x 83.[x] cm. (28-7/[x] x 32-7/[x] in.) or smaller,1,9.0
sheets : various media ; 74.[x] x 107.[x] cm. (29-1/[x] x 42-1/[x] in.) or smaller,1,11.0
sheets : various media ; 74.[x] x 50.[x] cm. (29-3/[x] x 19-7/[x] in.) or smaller,1,7.0
sheets : various media ; 74.[x] x [x] cm. (29-1/[x] x 42-1/[x] in.) or smaller,1,89.0
sheets : various media ; 75.[x] x 60.[x] cm. (29-3/[x] x [x] in.) or smaller,1,3.0
sheets : various media ; 76.[x] x 101.[x] cm. ([x] x 39-7/[x] in.) or smaller,1,22.0
sheets : various media ; 76.[x] x 103.[x] cm. (30-1/[x] x 40-3/[x] in.) or smaller,1,147.0
sheets : various media ; 76.[x] x 67.[x] cm. ([x] x 26-1/[x] in.) or smaller,1,3.0
sheets : various media ; 76.[x] x [x] cm. (30-1/[x] x 37-3/[x] in.) or smaller,1,49.0
sheets : various media ; 76.[x] x [x] cm. (30-1/[x] x 42-1/[x] in.) or smaller,1,40.0
sheets : various media ; 76.[x] x106.[x] cm. (30-1/[x] x 42-1/[x] in.) or smaller,1,84.0
sheets : various media ; 77.[x] x 91.[x] cm. (30-5/[x] x [x] in.) or smaller,1,5.0
sheets : various media ; 79.[x] x 113.[x] cm. ([x] x 44-3/[x] in.) or smaller,1,17.0
sheets : various media ; 87.[x] x 121.[x] cm. (34-5/[x] x 47-3/[x] in.) or smaller,1,37.0
sheets : various media ; 88.[x] x 106.[x] cm. (34-3/[x] x 42-1/[x] in.) or smaller,1,40.0
sheets : various media ; 89.[x] x 109.[x] cm. (35-3/[x] x 43-1/[x] in.) or smaller,1,29.0
sheets : various media ; 90.[x] x 104.[x] cm. (35-3/[x] x 41-1/[x] in.) or smaller,1,51.0
sheets : various media ; 91.[x] x 169.[x] cm. ([x] x 66-5/[x] in.) or smaller,1,58.0
sheets : various media ; 91.[x] x 72.[x] cm. (28-1/[x] x [x] in.) or smaller,1,14.0
sheets : various media ; 93.[x] x 149.[x] cm. (36-7/[x] x 58-7/[x] in.) or smaller,1,133.0
sheets : various media ; 95.[x] x 119.[x] cm. (37-5/[x] x [x] in.) or smaller,1,143.0
sheets : various media ; 97.[x] x 100.[x] cm. (38-1/[x] x 39-1/[x] in.) or smaller,1,56.0
sheets : various media ; [x] x 100.[x] cm. ([x] x 39-5/[x] in.) or smaller,1,34.0
sheets : various media ; [x] x 111.[x] cm. (31-1/[x] x [x] in.) or smaller,1,19.0
sheets : various media ; [x] x 114.[x] cm. ([x] x [x] in.) or smaller,1,18.0
sheets : various media ; [x] x 55.[x] cm. (25-1/[x] x 21-7/[x] in.) or smaller,1,2.0
sheets : various media ; [x] x 55.[x] cm. 19-3/[x] x [x] in.) or smaller,1,4.0
sheets : various media ; [x] x 56.[x] cm. (17-3/[x] x 22-1/[x] in.) or smaller,1,3.0
sheets : various media ; [x] x 56.[x] cm. ([x] x 22-1/[x] in.) or smaller,1,5.0
sheets : various media ; [x] x 80.[x] cm. ([x] x 31-3/[x] in.) or smaller,1,3.0
sheets : various media ; [x] x 83.[x] cm. ([x] x [x] in.) or smaller,1,14.0
sheets : various media ; [x] x 84.[x] cm. (25-5/[x] x 33-3/[x] in.) or smaller,1,28.0
sheets : various media ; [x] x 84.[x] cm. (26-3/[x] x 33-3/[x] in.) or smaller,1,30.0
sheets : various media ; [x] x 84.[x] cm. (27-1/[x] x 33-1/8in.) or smaller,1,2.0
sheets : various media ; [x] x 84.[x] cm. ([x] x 33-1/[x] in.) or smaller,1,11.0
sheets : various media ; [x] x 86.[x] cm. (21-5/[x] x 34-1/[x] in.) or smaller. This set consists of [x] pencil on paper,1,7.0
sheets : various media ; [x] x 86.[x] cm. (26-3/[x] x [x] in.) or smaller,1,61.0
sheets : various media ; [x] x 91.[x] cm. (22-7/[x] x 36-1/[x] in.) or smaller,1,5.0
sheets : various media ; [x] x 91.[x] cm. (26-3/[x] x [x] in.) or smaller,1,63.0
sheets : various media ; [x] x 91.[x] cm. (32-3/[x] x 36-1/[x] in.) or smaller,1,27.0
sheets : various media ; [x] x 94.[x] cm. (41-3/[x] x 37-1/[x] in.) or smaller,1,48.0
sheets : various media ; [x] x [x] cm. (25-1/[x] x 33-1/[x] in.) or smaller,1,16.0
sheets : various media ; [x] x [x] cm. (25-1/[x] x 47-3/[x] in.) or smaller,1,23.0
sheets : various media ; [x] x [x] cm. (38-5/[x] x [x] in.) or smaller,1,7.0
sheets : various media ; [x] x [x] cm. (40-1/[x] x [x] in.) or smaller,1,130.0
sheets : various media ; [x] x83.[x] cm. (25-5/[x] x [x] in.) or smaller,1,21.0
sheets : various media [x] x [x] cm. (26-3/[x] x 36-5/[x] in.) or smaller,1,23.0
sheets : various media. : 61.[x] x 123.[x] cm. (24-1/[x] x48-1/[x] in.) or smaller,1,9.0
sheets ; pencil on tracing paper ; 62.[x] x [x] cm. (24-1/[x] x [x] in.) or smaller,1,20.0
sheets of b&w contact prints,1,7.0
sheets of contact print,1,8.0
sheets of contact prints,1,3.0
sheets),1,25.0
six 5x7-inch,1,0
six architectural drawings,1,0
six ink-on-vellum drawings with pantone overlays                                        ,1,0
six not identified,1,0
sixteen cassettes,1,0
sixteen photographs,1,0
sixty prints,1,0
sixty-four by Baker,1,0
sixty-four color slides,1,0
sixty-four color slides by Gary Desmond,1,0
sixty-minute cassette tapes,1,3.0
sixty-nine                                         negatives,1,0
sleeves,1,5.0
slide boxes),1,4.0
slide cases,1,6.0
slide tray,1,1.0
slide trays,1,4.0
slidee,1,9.0
slides in [x] box,1,28.0
slides in box,1,9.0
slides in plastic bag,1,11.0
slides),1,3.0
small albums in [x] folder,1,13.0
small bound volumes of varying size,1,83.0
small items in one expandable folder,1,19.0
small ledgers,1,4.0
small negatives in [x] envelope,1,18.0
small reels in one canister,1,2.0
small slide boxes,1,2.0
sound cassettes (ca. [x] hours),1,2.0
sound discs,1,35.0
sound tape reel (13:08),1,1.0
sound tape reel (13:26): [x] 1/[x] ips; [x] in,1,1.0
sound tape reel (20:5),1,1.0
sound tape reel (5:05),1,1.0
sound tape reel:  [x] 1/[x] ips; [x] in,1,1.0
sound tape reel:  ca. [x] min,1,1.0
sound tape reel: [x] 1/[x] ips,1,1.0
sound tape reel: ca. [x] min,1,1.0
sound tape reels (dual track): [x] 1/[x] ips; [x] in,1,5.0
sound tape reels (dual track): [x] 3/[x] ips; [x] in,1,2.0
sound tape reels (each statement runs about [x] seconds),1,3.0
sound tape reels: 7-1/[x] ips; [x] in,1,4.0
sound tapes,1,6.0
souvenir packet of [x] post cards with envelope,1,0
spiral notebooks,1,2.0
strips of color negatives,1,21.0
surveys,1,0
tablets,1,9.0
tagboard folders,1,2.0
tape VHS format,1,1.0
tape: 11:[x] min,1,1.0
tape: 12:[x] min,1,1.0
tape: 13:[x] min,1,1.0
tape: 2:[x] min,1,1.0
tape: 8:[x] min,1,1.0
tapes with partial transcription,1,2.0
tapes),1,2.0
ten architectural drawings,1,0
ten black-and-white prints of various sizes,1,0
ten pencil drawings on vellum,1,0
ten survey,1,0
ten without numbers by Stegeman,1,0
thirteen architectural drawings,1,0
thirteen by N. L. Coe,1,0
thirteen by unknown photographers,1,0
thirteen site plan,1,0
thirty color slides,1,0
thirty-eight                                         negatives,1,0
thirty-eight architectural,1,0
thirty-five architectural drawings,1,0
thirty-nine 8x10-inch prints,1,0
thirty-nine architectural,1,0
thirty-nine blue-line,1,0
thirty-one architectural,1,0
thirty-one engineering,1,0
thirty-seven                                         negatives,1,0
thirty-seven [x] mm. negatives,1,0
thirty-six 2x7-1/4-inch prints of thirty-one projects,1,0
thirty-six 3x4-inch,1,0
thirty-six color slides,1,0
thirty-six prints,1,0
thirty-three 3x4-inch,1,0
thirty-three survey,1,0
thirty-two                                         undated,1,0
three                                         sheets of contact prints,1,0
three 10x13-inch,1,0
three 5x8-inch,1,0
three 8x10-inch prints by Fred Eggert,1,0
three black,1,0
three by unknown photographer,1,0
three color slides,1,0
three duplicates,1,0
three folders,1,0
three notebooks,1,0
three perspective drawings,1,0
three site plan,1,0
thumbnails,1,0
tintypes,1,2.0
titled Days of absence,1,0
trading cards,1,0
trays,1,2.0
twelve 7-1/2x9-1/2-inch,1,0
twelve 8x10-inch,1,0
twenty prings,1,0
twenty six drawings,1,0
twenty-eight prints,1,0
twenty-five 2-3/4x4-1/[x] inch,1,0
twenty-five architectural,1,0
twenty-five drawings,1,0
twenty-five perspectives,1,0
twenty-five utility,1,0
twenty-four                                         negatives,1,0
twenty-four architectural,1,0
twenty-one color slides,1,0
twenty-seven color slides,1,0
twenty-six 3-1/4x4-1/4-inch,1,0
twenty-six survey,1,0
twenty-three architectural,1,0
twenty-three by Irving Underhill,1,0
twenty-two color slides,1,0
twenty-two prints,1,0
twenty-two surveys,1,0
two  cassettes,1,0
"two 5"" reels",1,0
two DATs,1,0
two architectural drawings,1,0
two architectural drawings),1,0
two black-and-white prints,1,0
two blue-line prints,1,0
two color prints,1,0
two color slides,1,0
two elevations,1,0
two enlargements,1,0
two folders of [x] 3-1/2x[x] to 4x6-inch,1,0
two folders of [x] 8x10-inch,1,0
